WKT,id
"MULTIPOLYGON (((542075.0102366386 4136206.176875856, 542075.0102366386 4136209.986883476, 542078.9260778027 4136209.986883476, 542078.9260778027 4136206.176875856, 542075.0102366386 4136206.176875856)))",MLBSE00010
"MULTIPOLYGON (((542103.528436508 4136271.72404311, 542103.528436508 4136276.089676842, 542108.0925081363 4136276.089676842, 542108.0925081363 4136271.72404311, 542103.528436508 4136271.72404311)))",MLBSE00147
"MULTIPOLYGON (((541980.3672149861 4136551, 541985.5530586904 4136551, 541985.5530586904 4136544.844807707, 541980.3672149861 4136544.844807707, 541980.3672149861 4136551)))",MLBSE00041
"MULTIPOLYGON (((541980.6582572347 4136537.652536378, 541980.6582572347 4136544.928592594, 541985.883788519 4136544.928592594, 541985.883788519 4136537.652536378, 541980.6582572347 4136537.652536378)))",MLBSE00109
"MULTIPOLYGON (((542114.7071046978 4136223, 542120.5279496731 4136223, 542120.5279496731 4136219.336438335, 542114.7071046978 4136219.336438335, 542114.7071046978 4136223)))",MLBSE00145
"MULTIPOLYGON (((542095 4136181.434800033, 542095 4136188.049396593, 542099.9565543638 4136188.049396593, 542099.9565543638 4136181.434800033, 542095 4136181.434800033)))",MLBSE00142
"MULTIPOLYGON (((542099.9565543638 4136183.816054793, 542099.9565543638 4136193.804095604, 542106.3727130307 4136193.804095604, 542106.3727130307 4136183.816054793, 542099.9565543638 4136183.816054793)))",MLBSE00143
"MULTIPOLYGON (((542115.7495368673 4136177.654735481, 542115.7495368673 4136189.031841567, 542125.5391397784 4136189.031841567, 542125.5391397784 4136177.654735481, 542115.7495368673 4136177.654735481)))",MLBSE00011
"MULTIPOLYGON (((542135 4136183.105163047, 542135 4136178.183903208, 542126.6768503897 4136178.183903208, 542126.6768503897 4136183.105163047, 542135 4136183.105163047)))",MLBSE00012
"MULTIPOLYGON (((542168.618186852 4136938.099965526, 542168.618186852 4136942.65080796, 542172.4811112434 4136942.65080796, 542172.4811112434 4136938.099965526, 542168.618186852 4136938.099965526)))",MLBSE00032
"MULTIPOLYGON (((542169.0928997227 4136932.031540406, 542169.0928997227 4136938.7784289, 542175.4429124233 4136938.7784289, 542175.4429124233 4136932.031540406, 542169.0928997227 4136932.031540406)))",MLBSE00128
"MULTIPOLYGON (((542160.3168681664 4136833.185849437, 542160.3168681664 4136839.668154068, 542165.3439615546 4136839.668154068, 542165.3439615546 4136833.185849437, 542160.3168681664 4136833.185849437)))",MLBSE00031
"MULTIPOLYGON (((542223.001544036 4136839.022054993, 542223.001544036 4136843.467063881, 542227.7640535617 4136843.467063881, 542227.7640535617 4136839.022054993, 542223.001544036 4136839.022054993)))",MLBSE00089
"MULTIPOLYGON (((542257.9994663093 4136951.260366835, 542257.9994663093 4136959.197882708, 542266.4132331368 4136959.197882708, 542266.4132331368 4136951.260366835, 542257.9994663093 4136951.260366835)))",MLBSE00030
"MULTIPOLYGON (((542250.9719713947 4136971, 542258.6743809753 4136971, 542258.6743809753 4136964.057212095, 542250.9719713947 4136964.057212095, 542250.9719713947 4136971)))",MLBSE00125
"MULTIPOLYGON (((542257.2522427156 4136959.929703843, 542257.2522427156 4136967.338051993, 542263.1193898666 4136967.338051993, 542263.1193898666 4136959.929703843, 542257.2522427156 4136959.929703843)))",MLBSE00126
"MULTIPOLYGON (((542267.6750776758 4136986.522781119, 542267.6750776758 4136997.635303343, 542274.8982171221 4136997.635303343, 542274.8982171221 4136986.522781119, 542267.6750776758 4136986.522781119)))",MLBSE00026
"MULTIPOLYGON (((542262.6349755805 4136994.391064217, 542262.6349755805 4136997.645445727, 542265.9687322509 4136997.645445727, 542265.9687322509 4136994.391064217, 542262.6349755805 4136994.391064217)))",MLBSE00027
"MULTIPOLYGON (((541904.1165949125 4136564.217892529, 541904.1165949125 4136578.902296899, 541914.1178649152 4136578.902296899, 541914.1178649152 4136564.217892529, 541904.1165949125 4136564.217892529)))",MLBSE00086
"MULTIPOLYGON (((541901.7800751701 4136575.15090478, 541901.7800751701 4136578.167160809, 541904.2142467042 4136578.167160809, 541904.2142467042 4136575.15090478, 541901.7800751701 4136575.15090478)))",MLBSE00117
"MULTIPOLYGON (((542266.9889288546 4136896.564073633, 542266.9889288546 4136905.824508822, 542273.7358173492 4136905.824508822, 542273.7358173492 4136896.564073633, 542266.9889288546 4136896.564073633)))",MLBSE00127
"MULTIPOLYGON (((542285.485319891 4136903.776382975, 542285.485319891 4136912.110774646, 542293.8197115585 4136912.110774646, 542293.8197115585 4136903.776382975, 542285.485319891 4136903.776382975)))",MLBSE00028
"MULTIPOLYGON (((542285.405944732 4136892.346360115, 542285.405944732 4136899.807625037, 542292.7878344972 4136899.807625037, 542292.7878344972 4136892.346360115, 542285.405944732 4136892.346360115)))",MLBSE00029
"MULTIPOLYGON (((541974.6048141727 4136222.309860308, 541974.6048141727 4136226.96653629, 541978.4148217933 4136226.96653629, 541978.4148217933 4136222.309860308, 541974.6048141727 4136222.309860308)))",MLBSE00008
"MULTIPOLYGON (((541969.139788392 4136221.849323567, 541969.139788392 4136225.530380089, 541971.7591686295 4136225.530380089, 541971.7591686295 4136221.849323567, 541969.139788392 4136221.849323567)))",MLBSE00080
"MULTIPOLYGON (((542315.6593455235 4137116.614697563, 542315.6593455235 4137121.641790949, 542320.6202929458 4137121.641790949, 542320.6202929458 4137116.614697563, 542315.6593455235 4137116.614697563)))",MLBSE00033
"MULTIPOLYGON (((542305.2334184134 4137106.026492342, 542305.2334184134 4137113.805257902, 542312.0596820647 4137113.805257902, 542312.0596820647 4137106.026492342, 542305.2334184134 4137106.026492342)))",MLBSE00025
"MULTIPOLYGON (((542310.7319120598 4137100.043810255, 542310.7319120598 4137106.076322317, 542320.4156814285 4137106.076322317, 542320.4156814285 4137100.043810255, 542310.7319120598 4137100.043810255)))",MLBSE00097
"MULTIPOLYGON (((542322.8723425902 4137125.049631098, 542322.8723425902 4137130.129641255, 542326.999850845 4137130.129641255, 542326.999850845 4137125.049631098, 542322.8723425902 4137125.049631098)))",MLBSE00036
"MULTIPOLYGON (((542326.4481934945 4137115.204465574, 542326.4481934945 4137121.236977641, 542331.6869539722 4137121.236977641, 542331.6869539722 4137115.204465574, 542326.4481934945 4137115.204465574)))",MLBSE00096
"MULTIPOLYGON (((542352.0471641729 4137164.70335808, 542352.0471641729 4137169.942118559, 542361.2149950089 4137169.942118559, 542361.2149950089 4137164.70335808, 542352.0471641729 4137164.70335808)))",MLBSE00022
"MULTIPOLYGON (((542351.7088967912 4137157.949845182, 542351.7088967912 4137164.279480394, 542361.591104057 4137164.279480394, 542361.591104057 4137157.949845182, 542351.7088967912 4137157.949845182)))",MLBSE00095
"MULTIPOLYGON (((542344.0827079304 4137119.675932853, 542344.0827079304 4137123.782456869, 542349.8374069389 4137123.782456869, 542349.8374069389 4137119.675932853, 542344.0827079304 4137119.675932853)))",MLBSE00102
"MULTIPOLYGON (((542342.6936426517 4137123.446252892, 542342.6936426517 4137128.010324519, 542347.0592763834 4137128.010324519, 542347.0592763834 4137123.446252892, 542342.6936426517 4137123.446252892)))",MLBSE00103
"MULTIPOLYGON (((541967.7726110892 4136202.269676777, 541967.7726110892 4136207.349686939, 541972.2817217596 4136207.349686939, 541972.2817217596 4136202.269676777, 541967.7726110892 4136202.269676777)))",MLBSE00074
"MULTIPOLYGON (((541967.5125976354 4136206.624648226, 541967.5125976354 4136211.609928092, 541971.640105892 4136211.609928092, 541971.640105892 4136206.624648226, 541967.5125976354 4136206.624648226)))",MLBSE00079
"MULTIPOLYGON (((541960.9857547208 4136210.958610822, 541960.9857547208 4136215.191952622, 541965.1132629781 4136215.191952622, 541965.1132629781 4136210.958610822, 541960.9857547208 4136210.958610822)))",MLBSE00135
"MULTIPOLYGON (((541974.7832236812 4136169.648427801, 541974.7832236812 4136174.741667153, 541979.6780251367 4136174.741667153, 541979.6780251367 4136169.648427801, 541974.7832236812 4136169.648427801)))",MLBSE00005
"MULTIPOLYGON (((541971.7075747773 4136173.209549209, 541971.7075747773 4136178.236642594, 541976.3707268564 4136178.236642594, 541976.3707268564 4136173.209549209, 541971.7075747773 4136173.209549209)))",MLBSE00075
"MULTIPOLYGON (((541980 4136184.983531091, 541980 4136178.699664354, 541976.6685221987 4136178.699664354, 541976.6685221987 4136184.983531091, 541980 4136184.983531091)))",MLBSE00076
"MULTIPOLYGON (((541963.6245377765 4136157.08316279, 541963.6245377765 4136164.160781113, 541969.7761125813 4136164.160781113, 541969.7761125813 4136157.08316279, 541963.6245377765 4136157.08316279)))",MLBSE00137
"MULTIPOLYGON (((541968.5854851992 4136163.036299699, 541968.5854851992 4136168.195685012, 541976.9860228327 4136168.195685012, 541976.9860228327 4136163.036299699, 541968.5854851992 4136163.036299699)))",MLBSE00138
"MULTIPOLYGON (((541962.863720675 4136138.123260582, 541962.863720675 4136147.119111907, 541972.3887397256 4136147.119111907, 541972.3887397256 4136138.123260582, 541962.863720675 4136138.123260582)))",MLBSE00003
"MULTIPOLYGON (((541960.1601509852 4136141.002875643, 541960.1601509852 4136146.029969029, 541962.5414057476 4136146.029969029, 541962.5414057476 4136141.002875643, 541960.1601509852 4136141.002875643)))",MLBSE00085
"MULTIPOLYGON (((541977.403875727 4136557.96816729, 541977.403875727 4136564.84734772, 541983.965555516 4136564.84734772, 541983.965555516 4136557.96816729, 541977.403875727 4136557.96816729)))",MLBSE00107
"MULTIPOLYGON (((541985.870559326 4136551.82982168, 541985.870559326 4136560.71983946, 541992.643906206 4136560.71983946, 541992.643906206 4136551.82982168, 541985.870559326 4136551.82982168)))",MLBSE00108
"MULTIPOLYGON (((542015.336382148 4136757.90096299, 542015.336382148 4136764.56847633, 542019.040556223 4136764.56847633, 542019.040556223 4136757.90096299, 542015.336382148 4136757.90096299)))",MLBSE00039
"MULTIPOLYGON (((542005.308653758 4136758.90638167, 542005.308653758 4136767.00264786, 542012.611168363 4136767.00264786, 542012.611168363 4136758.90638167, 542005.308653758 4136758.90638167)))",MLBSE00104
"MULTIPOLYGON (((542092.261104474 4136230.20109057, 542092.261104474 4136237.50360518, 542097.023613997 4136237.50360518, 542097.023613997 4136230.20109057, 542092.261104474 4136230.20109057)))",MLBSE00009
"MULTIPOLYGON (((542101.081035779 4136232.18198486, 542101.081035779 4136236.28303473, 542105.248231614 4136236.28303473, 542105.248231614 4136232.18198486, 542101.081035779 4136232.18198486)))",MLBSE00144
"MULTIPOLYGON (((542106.825547809 4136495.59053732, 542106.825547809 4136500.42111407, 542112.912074506 4136500.42111407, 542112.912074506 4136495.59053732, 542106.825547809 4136495.59053732)))",MLBSE00060
"MULTIPOLYGON (((542110.239190139 4136503, 542112.302944268 4136503, 542112.302944268 4136500.64172139, 542110.239190139 4136500.64172139, 542110.239190139 4136503)))",MLBSE00061
"MULTIPOLYGON (((542110.143394678 4136484.79551574, 542110.143394678 4136492.09803034, 542117.97507701 4136492.09803034, 542117.97507701 4136484.79551574, 542110.143394678 4136484.79551574)))",MLBSE00122
"MULTIPOLYGON (((542106.007066963 4136444.97564443, 542106.007066963 4136449.42065332, 542110.213950376 4136449.42065332, 542110.213950376 4136444.97564443, 542106.007066963 4136444.97564443)))",MLBSE00058
"MULTIPOLYGON (((542107.64748691 4136440.95396972, 542107.64748691 4136446.24564697, 542113.415415111 4136446.24564697, 542113.415415111 4136440.95396972, 542107.64748691 4136440.95396972)))",MLBSE00059
"MULTIPOLYGON (((542111.748536778 4136433.84989301, 542111.748536778 4136439.34000816, 542116.312608407 4136439.34000816, 542116.312608407 4136433.84989301, 542111.748536778 4136433.84989301)))",MLBSE00120
"MULTIPOLYGON (((542113.7858325189 4136439.00927833, 542113.7858325189 4136443.22939094, 542118.746779941 4136443.22939094, 542118.746779941 4136439.00927833, 542113.7858325189 4136439.00927833)))",MLBSE00121
"MULTIPOLYGON (((542116.162315943 4136233.82240481, 542116.162315943 4136239.24637399, 542119.2050303631 4136239.24637399, 542119.2050303631 4136233.82240481, 542116.162315943 4136233.82240481)))",MLBSE00146
"MULTIPOLYGON (((541885.082628579 4136492.98747309, 541885.082628579 4136500.52811317, 541890.374305828 4136500.52811317, 541890.374305828 4136492.98747309, 541885.082628579 4136492.98747309)))",MLBSE00046
"MULTIPOLYGON (((541876.827612068 4136489.69340399, 541876.827612068 4136495.38195704, 541881.8547054559 4136495.38195704, 541881.8547054559 4136489.69340399, 541876.827612068 4136489.69340399)))",MLBSE00113
"MULTIPOLYGON (((541878.811991037 4136496.89008506, 541878.811991037 4136500.858843, 541882.516165113 4136500.858843, 541882.516165113 4136496.89008506, 541878.811991037 4136496.89008506)))",MLBSE00114
"MULTIPOLYGON (((542110.195949843 4136168.84060817, 542110.195949843 4136172.59769902, 542113.5297065109 4136172.59769902, 542113.5297065109 4136168.84060817, 542110.195949843 4136168.84060817)))",MLBSE00141
"MULTIPOLYGON (((542107.417819288 4136140.92701068, 542107.417819288 4136150.76953037, 542116.5459625419 4136150.76953037, 542116.5459625419 4136140.92701068, 542107.417819288 4136140.92701068)))",MLBSE00140
"MULTIPOLYGON (((542103.33264445 4136118.73900797, 542103.33264445 4136129.58694633, 542113.519123157 4136129.58694633, 542113.519123157 4136118.73900797, 542103.33264445 4136118.73900797)))",MLBSE00139
"MULTIPOLYGON (((541962.836990685 4136479.45819776, 541962.836990685 4136484.06195697, 541966.75283185 4136484.06195697, 541966.75283185 4136479.45819776, 541962.836990685 4136479.45819776)))",MLBSE00043
"MULTIPOLYGON (((541967.652416984 4136481.63175419, 541967.652416984 4136488.9342688, 541974.95493159 4136488.9342688, 541974.95493159 4136481.63175419, 541967.652416984 4136481.63175419)))",MLBSE00044
"MULTIPOLYGON (((541966.133705614 4136477.12985977, 541966.133705614 4136481.99820284, 541971.002048683 4136481.99820284, 541971.002048683 4136477.12985977, 541966.133705614 4136477.12985977)))",MLBSE00112
"MULTIPOLYGON (((542285.6156327761 4136950.909599, 542285.6156327761 4136958.05336328, 542293.235648019 4136958.05336328, 542293.235648019 4136950.909599, 542285.6156327761 4136950.909599)))",MLBSE00063
"MULTIPOLYGON (((542314.713899191 4137136.5166957, 542314.713899191 4137141.14691329, 542320.0717224081 4137141.14691329, 542320.0717224081 4137136.5166957, 542314.713899191 4137136.5166957)))",MLBSE00098
"MULTIPOLYGON (((542338.06827575 4137156, 542342.460367867 4137156, 542342.460367867 4137152.9760168, 542338.06827575 4137152.9760168, 542338.06827575 4137156)))",MLBSE00024
"MULTIPOLYGON (((542323.935087772 4137150.96341557, 542323.935087772 4137154.79988157, 542327.771553777 4137154.79988157, 542327.771553777 4137150.96341557, 542323.935087772 4137150.96341557)))",MLBSE00034
"MULTIPOLYGON (((542332.163645894 4137150.39456026, 542332.163645894 4137155.95082137, 542337.402406375 4137155.95082137, 542337.402406375 4137150.39456026, 542332.163645894 4137150.39456026)))",MLBSE00035
"MULTIPOLYGON (((542328.485489235 4137136.29179942, 542328.485489235 4137144.49389916, 542334.107896313 4137144.49389916, 542334.107896313 4137136.29179942, 542328.485489235 4137136.29179942)))",MLBSE00099
"MULTIPOLYGON (((542325.244336919 4137143.03868791, 542325.244336919 4137148.92567885, 542331.925079448 4137148.92567885, 542331.925079448 4137143.03868791, 542325.244336919 4137143.03868791)))",MLBSE00100
"MULTIPOLYGON (((542330.456639011 4137147.33817568, 542330.456639011 4137150.93651621, 542334.848731129 4137150.93651621, 542334.848731129 4137147.33817568, 542330.456639011 4137147.33817568)))",MLBSE00101
"MULTIPOLYGON (((541896.309803811 4136554.99490613, 541896.309803811 4136561.58304431, 541900.754812702 4136561.58304431, 541900.754812702 4136554.99490613, 541896.309803811 4136554.99490613)))",MLBSE00047
"MULTIPOLYGON (((541909.765460378 4136558.05308853, 541909.765460378 4136562.28643033, 541913.20505059 4136562.28643033, 541913.20505059 4136558.05308853, 541909.765460378 4136558.05308853)))",MLBSE00087
"MULTIPOLYGON (((541900.913563018 4136556.11409587, 541900.913563018 4136562.18629551, 541906.489667922 4136562.18629551, 541906.489667922 4136556.11409587, 541900.913563018 4136556.11409587)))",MLBSE00115
"MULTIPOLYGON (((541900.238874171 4136552.13210874, 541900.238874171 4136555.83628282, 541904.075340176 4136555.83628282, 541904.075340176 4136552.13210874, 541900.238874171 4136552.13210874)))",MLBSE00116
"MULTIPOLYGON (((403591.934162896 3285214.013908966, 403591.934162896 3285217.156015522, 403596.0546321963 3285217.156015522, 403596.0546321963 3285214.013908966, 403591.934162896 3285214.013908966)))",OSBSE00692
"MULTIPOLYGON (((403581.9126415656 3285202.97208404, 403581.9126415656 3285207.057410407, 403586.1874569526 3285207.057410407, 403586.1874569526 3285202.97208404, 403581.9126415656 3285202.97208404)))",OSBSE00693
"MULTIPOLYGON (((403583.7983398822 3285209.769115842, 403583.7983398822 3285214.24147831, 403587.9312101472 3285214.24147831, 403587.9312101472 3285209.769115842, 403583.7983398822 3285209.769115842)))",OSBSE00695
"MULTIPOLYGON (((403613.0082390921 3285151.940733812, 403613.0082390921 3285156.187620339, 403617.0556596585 3285156.187620339, 403617.0556596585 3285151.940733812, 403613.0082390921 3285151.940733812)))",OSBSE00690
"MULTIPOLYGON (((403602.9958155735 3285150.930529236, 403602.9958155735 3285159.647711407, 403611.0453973131 3285159.647711407, 403611.0453973131 3285150.930529236, 403602.9958155735 3285150.930529236)))",OSBSE00691
"MULTIPOLYGON (((403604.6211542391 3284597.271249698, 403604.6211542391 3284605.048824982, 403611.9485523415 3284605.048824982, 403611.9485523415 3284597.271249698, 403604.6211542391 3284597.271249698)))",OSBSE00341
"MULTIPOLYGON (((403597.8349172319 3284604.062128353, 403597.8349172319 3284608.125733227, 403600.9878993809 3284608.125733227, 403600.9878993809 3284604.062128353, 403597.8349172319 3284604.062128353)))",OSBSE00342
"MULTIPOLYGON (((403597 3284600.037461921, 403597 3284595.040323589, 403591.8522006327 3284595.040323589, 403591.8522006327 3284600.037461921, 403597 3284600.037461921)))",OSBSE00351
"MULTIPOLYGON (((403597 3284608.271723758, 403597 3284600.967520531, 403591.5978014744 3284600.967520531, 403591.5978014744 3284608.271723758, 403597 3284608.271723758)))",OSBSE00403
"MULTIPOLYGON (((403584.909634739 3284596.004986403, 403584.909634739 3284603.14047792, 403590.9854880355 3284603.14047792, 403590.9854880355 3284596.004986403, 403584.909634739 3284596.004986403)))",OSBSE00404
"MULTIPOLYGON (((403605.9321963259 3284551.83928029, 403605.9321963259 3284554.170678434, 403609.0820023477 3284554.170678434, 403609.0820023477 3284551.83928029, 403605.9321963259 3284551.83928029)))",OSBSE00347
"MULTIPOLYGON (((403595.846552096 3284552.681777164, 403595.846552096 3284556.285221035, 403599.9025555906 3284556.285221035, 403599.9025555906 3284552.681777164, 403595.846552096 3284552.681777164)))",OSBSE00349
"MULTIPOLYGON (((403603.0781958497 3284546.868561128, 403603.0781958497 3284550.198827134, 403608.3980065349 3284550.198827134, 403608.3980065349 3284546.868561128, 403603.0781958497 3284546.868561128)))",OSBSE00350
"MULTIPOLYGON (((403619.4218906703 3284604.751950309, 403619.4218906703 3284615.004108401, 403630.6543220986 3284615.004108401, 403630.6543220986 3284604.751950309, 403619.4218906703 3284604.751950309)))",OSBSE00344
"MULTIPOLYGON (((403624.2994874628 3284590, 403628.8143096935 3284590, 403628.8143096935 3284586.299009254, 403624.2994874628 3284586.299009254, 403624.2994874628 3284590)))",OSBSE00343
"MULTIPOLYGON (((403629.3494050707 3284573.129479882, 403629.3494050707 3284577.669233419, 403634.5243421607 3284577.669233419, 403634.5243421607 3284573.129479882, 403629.3494050707 3284573.129479882)))",OSBSE00345
"MULTIPOLYGON (((403627.9338662294 3284578.221149949, 403627.9338662294 3284585.268163205, 403632.9403259435 3284585.268163205, 403632.9403259435 3284578.221149949, 403627.9338662294 3284578.221149949)))",OSBSE00346
"MULTIPOLYGON (((403627.1413325118 3284570.194729746, 403627.1413325118 3284573.903829946, 403631.4188379975 3284573.903829946, 403631.4188379975 3284570.194729746, 403627.1413325118 3284570.194729746)))",OSBSE00348
"MULTIPOLYGON (((403647.2278962873 3284421.154023566, 403647.2278962873 3284425.592730448, 403651.2744724949 3284425.592730448, 403651.2744724949 3284421.154023566, 403647.2278962873 3284421.154023566)))",OSBSE00393
"MULTIPOLYGON (((403644.0447117986 3284415.939149968, 403644.0447117986 3284420.334970514, 403647.2754764865 3284420.334970514, 403647.2754764865 3284415.939149968, 403644.0447117986 3284415.939149968)))",OSBSE00396
"MULTIPOLYGON (((403663.1679967905 3284428.320918206, 403663.1679967905 3284432.250616157, 403666.2224579899 3284432.250616157, 403666.2224579899 3284428.320918206, 403663.1679967905 3284428.320918206)))",OSBSE00391
"MULTIPOLYGON (((403665.0449033647 3284425.224423528, 403665.0449033647 3284429.32436402, 403668.2297107957 3284429.32436402, 403668.2297107957 3284425.224423528, 403665.0449033647 3284425.224423528)))",OSBSE00392
"MULTIPOLYGON (((403654.2872119099 3284419.089280864, 403654.2872119099 3284424.231673779, 403659.1351818069 3284424.231673779, 403659.1351818069 3284419.089280864, 403654.2872119099 3284419.089280864)))",OSBSE00394
"MULTIPOLYGON (((403676.963601977 3284415.653468756, 403676.963601977 3284421.434812368, 403682.3960411115 3284421.434812368, 403682.3960411115 3284415.653468756, 403676.963601977 3284415.653468756)))",OSBSE00398
"MULTIPOLYGON (((403686.932732129 3284378.419241579, 403686.932732129 3284384.369081296, 403691.4981226419 3284384.369081296, 403691.4981226419 3284378.419241579, 403686.932732129 3284378.419241579)))",OSBSE00399
"MULTIPOLYGON (((403690.3845917074 3284384.347679937, 403690.3845917074 3284388.748772527, 403694.4895677448 3284388.748772527, 403694.4895677448 3284384.347679937, 403690.3845917074 3284384.347679937)))",OSBSE00400
"MULTIPOLYGON (((403685.3721107495 3284375.456970767, 403685.3721107495 3284379.695277821, 403689.512453923 3284379.695277821, 403689.512453923 3284375.456970767, 403685.3721107495 3284375.456970767)))",OSBSE00402
"MULTIPOLYGON (((403685.3738980546 3284363.514819033, 403685.3738980546 3284369.487563608, 403690.5805953632 3284369.487563608, 403690.5805953632 3284363.514819033, 403685.3738980546 3284363.514819033)))",OSBSE00401
